iter	Passed	Remaining
0	228	228686
1	229	114654
2	230	76607
3	231	57624
4	232	46177
5	232	38564
6	233	33184
7	234	29135
8	235	25959
9	236	23409
10	237	21328
11	238	19609
12	239	18169
13	240	16934
14	241	15860
15	242	14912
16	243	14102
17	244	13360
18	245	12688
19	246	12083
20	247	11541
21	248	11041
22	249	10592
23	250	10183
24	251	9804
25	252	9458
26	253	9149
27	254	8848
28	256	8575
29	257	8314
30	257	8063
31	258	7831
32	259	7611
33	260	7401
34	261	7216
35	262	7036
36	263	6868
37	264	6706
38	266	6555
39	267	6412
40	268	6275
41	269	6145
42	270	6015
43	271	5889
44	271	5769
45	272	5661
46	273	5553
47	274	5448
48	275	5350
49	276	5256
50	277	5162
51	278	5079
52	279	4997
53	280	4914
54	281	4836
55	282	4757
56	283	4686
57	284	4622
58	285	4552
59	286	4484
60	287	4419
61	287	4353
62	288	4298
63	290	4249
64	291	4192
65	292	4139
66	293	4085
67	294	4030
68	294	3976
69	295	3928
70	296	3879
71	297	3831
72	298	3786
73	299	3742
74	299	3697
75	300	3653
76	301	3611
77	301	3568
78	302	3527
79	303	3488
80	304	3449
81	304	3410
82	305	3370
83	305	3334
84	306	3297
85	307	3262
86	307	3227
87	308	3195
88	309	3165
89	310	3138
90	311	3109
91	311	3078
92	312	3047
93	313	3018
94	313	2990
95	314	2963
96	315	2934
97	315	2907
98	316	2880
99	317	2853
100	317	2827
101	318	2801
102	318	2775
103	319	2752
104	320	2729
105	320	2707
106	321	2685
107	322	2664
108	323	2641
109	323	2619
110	324	2600
111	325	2580
112	326	2560
113	327	2541
114	327	2523
115	328	2505
116	329	2484
117	329	2465
118	330	2447
119	331	2428
120	331	2409
121	332	2390
122	332	2372
123	333	2355
124	334	2339
125	335	2323
126	335	2306
127	336	2291
128	337	2276
129	337	2261
130	338	2247
131	340	2236
132	340	2221
133	341	2208
134	342	2193
135	343	2180
136	343	2166
137	344	2151
138	345	2137
139	345	2124
140	346	2111
141	346	2096
142	347	2084
143	348	2073
144	349	2062
145	350	2051
146	352	2042
147	352	2031
148	354	2022
149	354	2011
150	355	1999
151	356	1987
152	357	1976
153	357	1965
154	358	1953
155	358	1941
156	359	1930
157	360	1918
158	360	1907
159	361	1897
160	361	1885
161	362	1874
162	363	1864
163	363	1855
164	364	1844
165	365	1834
166	365	1824
167	366	1814
168	366	1804
169	367	1794
170	368	1786
171	369	1777
172	369	1768
173	370	1759
174	371	1750
175	372	1741
176	372	1733
177	373	1724
178	373	1715
179	374	1706
180	375	1698
181	376	1690
182	376	1682
183	377	1673
184	378	1665
185	378	1657
186	379	1649
187	379	1641
188	380	1633
189	381	1625
190	381	1617
191	383	1612
192	383	1605
193	384	1597
194	385	1590
195	385	1583
196	386	1575
197	387	1568
198	387	1561
199	388	1554
200	389	1547
201	390	1540
202	390	1533
203	391	1526
204	391	1519
205	392	1512
206	393	1505
207	393	1499
208	394	1492
209	394	1485
210	395	1480
211	396	1474
212	397	1468
213	398	1462
214	398	1455
215	399	1449
216	400	1444
217	401	1438
218	401	1432
219	402	1426
220	402	1420
221	403	1414
222	404	1408
223	404	1402
224	405	1396
225	406	1390
226	406	1385
227	407	1379
228	408	1373
229	408	1368
230	409	1362
231	409	1356
232	410	1351
233	411	1346
234	412	1343
235	413	1338
236	414	1333
237	414	1328
238	415	1322
239	416	1317
240	416	1312
241	417	1307
242	418	1302
243	418	1298
244	419	1293
245	420	1288
246	421	1283
247	421	1278
248	422	1273
249	422	1268
250	423	1264
251	424	1259
252	425	1255
253	425	1250
254	426	1247
255	427	1243
256	428	1238
257	429	1234
258	430	1230
259	430	1226
260	431	1222
261	432	1217
262	432	1213
263	433	1208
264	434	1204
265	434	1200
266	435	1196
267	436	1191
268	437	1188
269	437	1184
270	438	1180
271	439	1175
272	440	1171
273	440	1168
274	441	1164
275	442	1160
276	443	1156
277	443	1152
278	444	1149
279	445	1145
280	446	1141
281	446	1137
282	447	1134
283	448	1130
284	449	1127
285	450	1123
286	450	1119
287	451	1116
288	452	1112
289	452	1108
290	453	1104
291	454	1101
292	454	1097
293	456	1095
294	456	1091
295	457	1088
296	458	1084
297	459	1081
298	459	1077
299	460	1074
300	461	1071
301	461	1067
302	462	1064
303	463	1060
304	464	1057
305	464	1053
306	465	1050
307	466	1047
308	466	1044
309	467	1041
310	468	1038
311	469	1034
312	470	1032
313	471	1029
314	471	1026
315	472	1022
316	473	1019
317	474	1016
318	474	1013
319	475	1010
320	476	1007
321	476	1004
322	477	1001
323	478	998
324	479	995
325	479	992
326	480	989
327	481	986
328	482	983
329	482	980
330	483	976
331	484	973
332	485	972
333	486	970
334	487	967
335	487	964
336	488	961
337	489	958
338	490	955
339	490	952
340	491	950
341	492	947
342	493	944
343	493	941
344	494	938
345	495	935
346	495	932
347	496	930
348	497	927
349	497	924
350	498	922
351	499	920
352	500	918
353	501	915
354	502	912
355	503	910
356	504	908
357	505	905
358	505	903
359	506	900
360	507	897
361	507	894
362	508	892
363	509	889
364	510	887
365	510	884
366	511	882
367	512	880
368	513	877
369	514	875
370	514	872
371	515	870
372	516	867
373	516	865
374	517	862
375	518	860
376	518	857
377	519	855
378	520	852
379	521	850
380	522	848
381	522	845
382	523	843
383	524	840
384	524	838
385	525	835
386	526	833
387	526	831
388	527	828
389	528	826
390	529	825
391	530	822
392	531	820
393	531	817
394	532	815
395	532	812
396	533	810
397	534	808
398	534	805
399	535	803
400	536	801
401	537	798
402	537	796
403	538	794
404	538	791
405	539	789
406	540	787
407	541	785
408	541	782
409	542	780
410	543	778
411	544	776
412	544	774
413	545	772
414	546	770
415	547	768
416	548	766
417	548	764
418	549	761
419	550	759
420	550	757
421	551	755
422	552	753
423	552	751
424	553	749
425	554	746
426	555	744
427	555	742
428	556	740
429	557	738
430	558	736
431	559	735
432	559	733
433	560	731
434	561	728
435	561	726
436	562	724
437	563	722
438	563	720
439	564	718
440	565	716
441	565	714
442	566	712
443	567	710
444	568	708
445	568	706
446	569	704
447	570	702
448	570	700
449	571	698
450	572	696
451	573	695
452	573	693
453	574	691
454	575	689
455	576	687
456	577	685
457	577	683
458	578	682
459	579	679
460	579	678
461	580	676
462	581	674
463	582	672
464	582	670
465	583	668
466	584	666
467	584	664
468	585	662
469	585	660
470	586	659
471	587	657
472	588	655
473	589	653
474	589	651
475	590	649
476	591	648
477	591	646
478	592	644
479	593	642
480	593	640
481	595	639
482	595	637
483	596	635
484	597	633
485	597	632
486	598	630
487	599	628
488	600	627
489	600	625
490	601	623
491	602	622
492	603	620
493	604	618
494	604	616
495	606	615
496	606	614
497	607	612
498	608	610
499	609	609
500	609	607
501	610	605
502	611	603
503	611	602
504	612	600
505	613	598
506	613	596
507	614	595
508	614	593
509	615	591
510	616	590
511	617	588
512	618	586
513	618	585
514	619	583
515	620	582
516	621	580
517	621	578
518	622	576
519	623	575
520	623	573
521	624	571
522	624	569
523	625	568
524	626	566
525	626	564
526	627	563
527	627	561
528	628	559
529	629	557
530	629	556
531	630	554
532	631	553
533	632	551
534	632	550
535	633	548
536	634	547
537	635	545
538	635	543
539	636	542
540	637	540
541	637	539
542	638	537
543	639	535
544	639	534
545	640	532
546	640	530
547	641	529
548	642	527
549	642	526
550	643	524
551	644	522
552	644	521
553	645	519
554	646	518
555	647	516
556	647	515
557	648	513
558	649	512
559	649	510
560	650	509
561	651	507
562	652	506
563	652	504
564	653	502
565	653	501
566	654	499
567	655	498
568	655	496
569	656	495
570	657	493
571	657	492
572	658	490
573	659	489
574	660	487
575	660	486
576	661	485
577	662	483
578	663	482
579	663	480
580	664	479
581	665	477
582	665	476
583	666	474
584	666	473
585	667	471
586	668	470
587	668	468
588	669	467
589	670	465
590	670	464
591	671	462
592	671	461
593	672	459
594	672	458
595	673	456
596	674	455
597	675	454
598	676	452
599	676	451
600	677	449
601	678	448
602	679	447
603	679	445
604	680	444
605	680	442
606	681	441
607	682	439
608	682	438
609	683	436
610	683	435
611	684	433
612	685	432
613	685	431
614	686	429
615	687	428
616	687	427
617	688	425
618	689	424
619	690	423
620	691	421
621	691	420
622	692	419
623	693	417
624	693	416
625	694	414
626	695	413
627	695	412
628	696	410
629	696	409
630	697	407
631	698	406
632	699	405
633	700	404
634	700	402
635	701	401
636	702	400
637	703	398
638	705	398
639	706	397
640	707	395
641	707	394
642	708	393
643	709	391
644	709	390
645	710	389
646	711	387
647	711	386
648	712	385
649	712	383
650	713	382
651	713	381
652	714	379
653	715	378
654	716	377
655	716	375
656	717	374
657	718	373
658	719	372
659	719	370
660	720	369
661	721	368
662	721	366
663	722	365
664	723	364
665	723	363
666	724	361
667	725	360
668	725	359
669	726	357
670	726	356
671	727	355
672	728	353
673	728	352
674	729	351
675	730	349
676	730	348
677	731	347
678	731	346
679	732	344
680	733	343
681	734	342
682	734	341
683	735	339
684	736	338
685	736	337
686	737	335
687	738	334
688	738	333
689	739	332
690	739	330
691	740	329
692	741	328
693	741	327
694	742	325
695	743	324
696	743	323
697	744	322
698	744	320
699	745	319
700	746	318
701	747	317
702	747	315
703	748	314
704	749	313
705	749	312
706	750	311
707	751	309
708	751	308
709	752	307
710	753	306
711	754	305
712	754	303
713	755	302
714	755	301
715	756	300
716	757	298
717	757	297
718	758	296
719	759	295
720	759	294
721	760	292
722	761	291
723	762	290
724	762	289
725	763	288
726	763	286
727	764	285
728	765	284
729	765	283
730	766	282
731	767	280
732	767	279
733	768	278
734	768	277
735	769	276
736	770	274
737	771	273
738	771	272
739	772	271
740	773	270
741	773	269
742	774	267
743	774	266
744	775	265
745	776	264
746	777	263
747	777	262
748	778	260
749	779	259
750	779	258
751	780	257
752	780	256
753	781	254
754	782	253
755	783	252
756	783	251
757	784	250
758	785	249
759	785	248
760	786	246
761	786	245
762	787	244
763	788	243
764	789	242
765	789	241
766	790	240
767	791	239
768	792	237
769	792	236
770	793	235
771	794	234
772	795	233
773	795	232
774	796	231
775	797	230
776	797	228
777	798	227
778	799	226
779	799	225
780	800	224
781	801	223
782	801	222
783	802	221
784	803	219
785	803	218
786	804	217
787	805	216
788	806	215
789	806	214
790	807	213
791	808	212
792	808	211
793	809	210
794	810	208
795	811	207
796	811	206
797	812	205
798	812	204
799	813	203
800	814	202
801	814	201
802	815	200
803	816	199
804	817	197
805	818	196
806	818	195
807	819	194
808	820	193
809	821	192
810	822	191
811	823	190
812	824	189
813	825	188
814	826	187
815	827	186
816	827	185
817	828	184
818	829	183
819	830	182
820	831	181
821	831	180
822	832	179
823	833	177
824	833	176
825	834	175
826	835	174
827	836	173
828	836	172
829	837	171
830	839	170
831	839	169
832	840	168
833	841	167
834	841	166
835	842	165
836	843	164
837	843	163
838	844	162
839	844	160
840	845	159
841	846	158
842	846	157
843	847	156
844	847	155
845	848	154
846	849	153
847	850	152
848	850	151
849	851	150
850	852	149
851	853	148
852	853	147
853	854	146
854	855	145
855	856	144
856	856	142
857	857	141
858	857	140
859	858	139
860	859	138
861	859	137
862	860	136
863	861	135
864	861	134
865	862	133
866	862	132
867	863	131
868	864	130
869	865	129
870	866	128
871	866	127
872	867	126
873	868	125
874	868	124
875	869	123
876	869	121
877	870	120
878	870	119
879	871	118
880	872	117
881	872	116
882	873	115
883	874	114
884	874	113
885	875	112
886	876	111
887	876	110
888	877	109
889	877	108
890	879	107
891	880	106
892	880	105
893	881	104
894	882	103
895	883	102
896	883	101
897	884	100
898	885	99
899	885	98
900	886	97
